,Annee,Mois,meanAVG
372,2001,1,15.20408351727453
373,2001,2,15.794193100465925
374,2001,3,17.959156855871303
375,2001,4,19.593270086417547
376,2001,5,21.438495153513113
377,2001,6,22.191653302812103
378,2001,7,23.222397661175716
379,2001,8,23.409564518850534
380,2001,9,21.6929579522241
381,2001,10,20.515908123690334
382,2001,11,17.47296556508979
383,2001,12,15.29867670520293
384,2002,1,15.219069327569702
385,2002,2,16.721583016729188
386,2002,3,18.17583336985598
387,2002,4,19.45144617841627
388,2002,5,21.542602863224463
389,2002,6,22.593628119244052
390,2002,7,23.37554032105031
391,2002,8,23.17959385502353
392,2002,9,21.67373614050764
393,2002,10,19.83281534904056
394,2002,11,17.65803770437356
395,2002,12,15.245271959078014
396,2003,1,15.050650595289188
397,2003,2,15.320628549381258
398,2003,3,17.195438114836797
399,2003,4,19.24208578429267
400,2003,5,21.664901910075244
401,2003,6,22.75577585058438
402,2003,7,23.354538199493568
403,2003,8,23.51001611546977
404,2003,9,21.82034485115207
405,2003,10,19.872028867231908
406,2003,11,17.926943916305802
407,2003,12,15.591615789651199
408,2004,1,14.958174906301489
409,2004,2,15.997830910590327
410,2004,3,17.762250816026974
411,2004,4,19.58828289074207
412,2004,5,20.688796270068007
413,2004,6,22.218590393241495
414,2004,7,22.733732527890826
415,2004,8,23.1290600445895
416,2004,9,21.837356010101196
417,2004,10,20.349619032651454
418,2004,11,17.912532537100084
419,2004,12,15.966028734716254
420,2005,1,15.40863696651336
421,2005,2,15.632517737866939
422,2005,3,17.608410647236685
423,2005,4,19.87459614630666
424,2005,5,21.451820581000554
425,2005,6,22.61027406178873
426,2005,7,23.291955675318697
427,2005,8,22.869105895243866
428,2005,9,21.889142391269164
429,2005,10,20.152910750270976
430,2005,11,17.61819121997729
431,2005,12,15.792681250949387
432,2006,1,14.502089995182667
433,2006,2,15.764081640224973
434,2006,3,17.132586327074367
435,2006,4,19.564018442432705
436,2006,5,21.13175469929628
437,2006,6,22.526887054100055
438,2006,7,23.365124757122445
439,2006,8,22.805232792540863
440,2006,9,21.79901792970138
441,2006,10,20.36876485441023
442,2006,11,17.677698104298823
443,2006,12,15.875427294083732
444,2007,1,15.595523016733601
445,2007,2,16.09953287978412
446,2007,3,17.770157304686332
447,2007,4,19.680870812191813
448,2007,5,21.433513799076508
449,2007,6,22.592513615111113
450,2007,7,22.94295725577668
451,2007,8,22.918561155714084
452,2007,9,21.519851393412676
453,2007,10,19.72689723984405
454,2007,11,17.23004486598284
455,2007,12,15.423627580854207
456,2008,1,14.687085047405734
457,2008,2,15.817579269518568
458,2008,3,17.965972700274197
459,2008,4,19.546313554601067
460,2008,5,21.197204594554567
461,2008,6,22.363749784486863
462,2008,7,23.12397527243184
463,2008,8,23.088246536793356
464,2008,9,21.69376991941886
465,2008,10,20.195233428853197
466,2008,11,17.876888829032772
467,2008,12,15.892569857243288
468,2009,1,14.717769704425054
469,2009,2,15.76999554527664
470,2009,3,17.261448011931982
471,2009,4,19.46590994779258
472,2009,5,21.34885676315387
473,2009,6,22.374054763269022
474,2009,7,23.137728964661356
475,2009,8,23.19746694659021
476,2009,9,21.936338769837537
477,2009,10,19.93368336552027
478,2009,11,17.852810755916916
479,2009,12,15.965624531689201
480,2010,1,14.904267806704933
481,2010,2,15.98582699623916
482,2010,3,17.84217909654227
483,2010,4,19.934293017069823
484,2010,5,21.511086918064205
485,2010,6,22.756401106558865
486,2010,7,23.532701690805133
487,2010,8,23.379010257960648
488,2010,9,21.906277061810034
489,2010,10,20.027502120654255
490,2010,11,17.99617345220511
491,2010,12,15.196369836417283
492,2011,1,14.802288074187326
493,2011,2,15.43443430860891
494,2011,3,17.329454372105243
495,2011,4,19.94234862370514
496,2011,5,21.484596991419664
497,2011,6,22.772130048666096
498,2011,7,23.194837626985173
499,2011,8,23.220434303647938
500,2011,9,22.370877912668938
501,2011,10,19.989304859715023
502,2011,11,17.500490723032254
503,2011,12,15.789470121143411
504,2012,1,14.867322226698759
505,2012,2,14.638159923857046
506,2012,3,17.587314976594026
507,2012,4,19.570713743011563
508,2012,5,21.46827233473007
509,2012,6,22.55307441061001
510,2012,7,23.17733919220311
511,2012,8,23.33054783297015
512,2012,9,21.962099410276725
513,2012,10,20.239348199810394
514,2012,11,18.133659354804312
515,2012,12,15.35365498432784
516,2013,1,14.92746180493656
517,2013,2,15.736614091776332
518,2013,3,17.038881113627145
519,2013,4,19.418808893410493
520,2013,5,21.31801410202901
521,2013,6,22.586079591651163
522,2013,7,23.211159509336262
523,2013,8,23.105436090651406
524,2013,9,21.807989937643498
525,2013,10,20.105581764236764
526,2013,11,18.008357732906088
527,2013,12,15.650818248427678
528,2014,1,15.557726908601476
529,2014,2,16.238799839992417
530,2014,3,18.197099832563712
531,2014,4,19.979472558384828
532,2014,5,21.471578831014664
533,2014,6,22.69269495067695
534,2014,7,23.36699649250344
535,2014,8,23.199501253321262
536,2014,9,22.15447691662158
537,2014,10,20.404150559163888
538,2014,11,18.03311825319156
539,2014,12,16.140393946580676
540,2015,1,15.650590043310602
541,2015,2,16.37195749410633
542,2015,3,18.131043417035098
543,2015,4,19.24469158043186
544,2015,5,21.908805876508687
545,2015,6,22.87739800749734
546,2015,7,23.777539787690657
547,2015,8,23.86153330398937
548,2015,9,22.42511553174039
549,2015,10,20.39716651509804
550,2015,11,18.438182754866467
551,2015,12,16.63727357357512
552,2016,1,15.63124526530041
553,2016,2,17.223486580723375
554,2016,3,18.525383838498954
555,2016,4,20.371511568257894
556,2016,5,21.602277336717886
557,2016,6,22.877220304731583
558,2016,7,23.487784708739383
559,2016,8,23.451158235392768
560,2016,9,22.465448180983127
561,2016,10,20.25429061051451
562,2016,11,17.950149332939183
563,2016,12,16.271713703387224
564,2017,1,15.027321902227854
565,2017,2,16.36805029984059
566,2017,3,18.298783779374876
567,2017,4,19.78710690016892
568,2017,5,21.800282211844877
569,2017,6,23.10288999467114
570,2017,7,23.71581578963853
571,2017,8,23.75007344988774
572,2017,9,22.277792359727496
573,2017,10,20.496825663062634
574,2017,11,18.070507944502925
575,2017,12,16.263761703768612
576,2018,1,15.90530393034869
577,2018,2,16.104193235036874
578,2018,3,18.065316029218604
579,2018,4,20.38839361313542
580,2018,5,22.066005979207052
581,2018,6,22.759333139331517
582,2018,7,23.624890996159785
583,2018,8,23.56471828555644
584,2018,9,22.43343535147483
585,2018,10,20.465807810517006
586,2018,11,18.282711407556686
587,2018,12,16.33766346294101
588,2019,1,15.429643738615313
589,2019,2,16.66192624188768
590,2019,3,18.199560354494572
591,2019,4,20.00314073881981
592,2019,5,21.3724136804925
593,2019,6,23.368571262911093
594,2019,7,23.51237290439487
595,2019,8,23.623385358370236
596,2019,9,22.247067407355598
597,2019,10,20.60309340155753
598,2019,11,18.315981270243597
599,2019,12,16.593284902841255
